Date,Stat,StartDiff,FinDiff
05-Apr-2022,Penumbra,00:01:05,00:01:15
05-Apr-2022,Umbra   ,00:01:14,-00:01:06
05-Apr-2022,Penumbra,-00:01:07,-00:00:58
06-Apr-2022,Penumbra,00:01:06,00:01:17
06-Apr-2022,Umbra   ,00:01:17,-00:01:21
06-Apr-2022,Penumbra,-00:01:23,-00:01:11
07-Apr-2022,Penumbra,00:01:08,00:01:22
07-Apr-2022,Umbra   ,00:01:21,-00:01:38
07-Apr-2022,Penumbra,-00:01:39,-00:01:25
08-Apr-2022,Penumbra,00:01:12,00:01:32
08-Apr-2022,Umbra   ,00:01:31,-00:02:00
08-Apr-2022,Penumbra,-00:02:01,-00:01:41
09-Apr-2022,Penumbra,00:01:19,00:01:51
09-Apr-2022,Umbra   ,00:01:50,-00:02:30
09-Apr-2022,Penumbra,-00:02:31,-00:02:00
10-Apr-2022,Penumbra,00:02:14,00:03:18
10-Apr-2022,Umbra   ,00:03:17,-00:03:00
10-Apr-2022,Penumbra,-00:03:02,-00:01:58
11-Apr-2022,Penumbra,00:02:44,-00:02:41
12-Apr-2022,Penumbra,00:04:19,-00:04:28
13-Apr-2022,NoEcl   ,24:00:00,24:00:00
